song,artist,genre,mood,keywords
Why This Kolaveri D,Dhanush,Sad,Sad,sad heartbreak loneliness emotional love pain
Kannazhaga,Dhanush,Romantic,Romantic,romantic love relationship melody emotional
Munbe Vaa,Shreya Ghoshal,Romantic,Romantic,romantic love soft melody relationship
Vaseegara,Bombay Jayashri,Romantic,Romantic,love romance emotional melody relationship
Nenjukkul Peidhidum,Hariharan,Romantic,Romantic,love rain romance emotional relationship
Arabic Kuthu,Anirudh,Dance,Happy,dance party energetic celebration fun
Vaathi Coming,Anirudh,Dance,Happy,mass dance celebration energetic fun
Rowdy Baby,Dhanush,Dance,Happy,dance love fun energetic celebration
Jolly O Gymkhana,Vijay,Dance,Happy,party dance fun celebration energetic
Enjoy Enjaami,Dhee,Folk,Happy,folk culture celebration fun village
Believer,Imagine Dragons,Motivational,Power,motivation struggle power success confidence
Thunder,Imagine Dragons,Motivational,Power,motivation energy confidence success
Radioactive,Imagine Dragons,Motivational,Power,power future energy transformation
Enemy,Imagine Dragons,Motivational,Power,struggle fight power confidence
Perfect,Ed Sheeran,Romantic,Romantic,romantic love relationship marriage forever
Photograph,Ed Sheeran,Romantic,Emotional,memories love emotional relationship
Thinking Out Loud,Ed Sheeran,Romantic,Romantic,romantic love forever relationship
Shape of You,Ed Sheeran,Romantic,Happy,love attraction relationship romance
Happier,Ed Sheeran,Sad,Emotional,breakup memories sadness emotional
Galway Girl,Ed Sheeran,Happy,Happy,fun dance love celebration
Unakkenna Venum Sollu,Harris Jayaraj,Romantic,Romantic,romantic love emotional relationship
Aalaporan Thamizhan,A R Rahman,Motivational,Power,pride motivation confidence success
Megham Karukatha,Dhanush,Romantic,Emotional,love emotional melody romance
Private Party,Anirudh,Dance,Happy,party dance celebration energetic
